,time,low,high,open,close,volume
0,1628625600,1.5866,1.5938,1.5879,1.5922,2722010.97
1,1628622000,1.5764,1.5898,1.5862,1.5877,2953262.02
2,1628618400,1.5656,1.5865,1.5671,1.5861,3813588.65
3,1628614800,1.5344,1.5685,1.5351,1.5671,3807963.99
4,1628611200,1.5286,1.5702,1.5578,1.5347,6774088.49
5,1628607600,1.5389,1.5695,1.5647,1.5581,4757914.36
6,1628604000,1.558,1.5769,1.5754,1.5649,4492026.76
7,1628600400,1.558,1.593,1.58,1.5753,6013772.23
8,1628596800,1.5731,1.5945,1.5754,1.58,6999837.31
9,1628593200,1.5529,1.588,1.5529,1.5756,9725112.84
10,1628589600,1.4899,1.5624,1.4913,1.5529,9193165.2
11,1628586000,1.4786,1.4915,1.4808,1.4908,1349072.04
12,1628582400,1.4755,1.4817,1.479,1.4816,913784.23
13,1628578800,1.4632,1.48,1.4702,1.4792,892282.43
14,1628575200,1.4626,1.4733,1.4685,1.4702,580877.6
15,1628571600,1.461,1.4745,1.4632,1.4689,634542.09
16,1628568000,1.4581,1.4703,1.4607,1.4634,905459.99
17,1628564400,1.46,1.4738,1.4718,1.4613,1212954.53
18,1628560800,1.4676,1.4754,1.4715,1.4722,946325.65
19,1628557200,1.46,1.4747,1.4693,1.4718,1800346.79
20,1628553600,1.4602,1.483,1.4752,1.4698,2556509.65
21,1628550000,1.4704,1.4818,1.4809,1.4752,1711466.04
22,1628546400,1.466,1.4816,1.4674,1.4816,1974029.11
23,1628542800,1.4504,1.4736,1.4605,1.4677,4422696.38
24,1628539200,1.4587,1.4932,1.4829,1.4601,5424709.3
25,1628535600,1.4758,1.5,1.4894,1.4834,3000559.98
26,1628532000,1.4803,1.4985,1.4846,1.4893,5426568.28
27,1628528400,1.4769,1.4866,1.4818,1.4846,2117312.53
28,1628524800,1.4742,1.4876,1.4863,1.4815,2363723.21
29,1628521200,1.4679,1.4877,1.4679,1.4864,3527990.78
30,1628517600,1.4552,1.4769,1.4553,1.4673,2638902.06
31,1628514000,1.4531,1.4727,1.4632,1.4552,2196794.89
32,1628510400,1.4565,1.475,1.4737,1.4638,2356276.66
33,1628506800,1.4629,1.475,1.4671,1.4739,2532759.37
34,1628503200,1.4479,1.4669,1.4567,1.4669,1720573.66
35,1628499600,1.4274,1.4593,1.4316,1.4567,1708937.31
36,1628496000,1.4223,1.4358,1.4297,1.4307,861192.09
37,1628492400,1.4087,1.4301,1.4111,1.4301,904691.78
38,1628488800,1.4013,1.4163,1.4128,1.4111,1433957.65
39,1628485200,1.4107,1.4243,1.4209,1.4128,1319152.79
40,1628481600,1.4156,1.4283,1.4204,1.4214,915570.58
41,1628478000,1.4097,1.4216,1.4191,1.4205,955188.7
42,1628474400,1.4027,1.4199,1.4075,1.4193,1672804.19
43,1628470800,1.3921,1.4158,1.405,1.4073,5035404.6
44,1628467200,1.4041,1.435,1.4265,1.4048,2361286.82
45,1628463600,1.4246,1.4486,1.4411,1.4268,1500474.3
46,1628460000,1.4372,1.4475,1.4404,1.4414,2422788.3
