,time,low,high,open,close,volume
0,1628632800,0.8854,0.8863,0.886,0.8863,8103
1,1628629200,0.8823,0.891,0.8897,0.8853,699001
2,1628625600,0.8791,0.8923,0.8813,0.8899,915992
3,1628622000,0.8724,0.8828,0.8745,0.8813,492728
4,1628618400,0.8681,0.875,0.8713,0.8745,695142
5,1628614800,0.8627,0.8739,0.8631,0.8719,967576
6,1628611200,0.8605,0.8773,0.8725,0.8633,2054334
7,1628607600,0.8688,0.8932,0.8858,0.8721,987274
8,1628604000,0.883,0.8946,0.8862,0.8861,1595616
9,1628600400,0.879,0.9098,0.9043,0.8857,1869926
10,1628596800,0.8817,0.9042,0.8877,0.9042,1436414
11,1628593200,0.8663,0.89,0.8708,0.8875,1655090
12,1628589600,0.8696,0.8831,0.8794,0.8701,620793
13,1628586000,0.8704,0.8805,0.8798,0.8793,536447
14,1628582400,0.8723,0.8797,0.8771,0.8797,445396
15,1628578800,0.869,0.881,0.881,0.8776,434772
16,1628575200,0.8662,0.8839,0.8701,0.8808,786037
17,1628571600,0.8604,0.8734,0.8618,0.8702,404113
18,1628568000,0.8619,0.878,0.8672,0.8619,767448
19,1628564400,0.8585,0.8706,0.8649,0.8672,713203
20,1628560800,0.8501,0.867,0.852,0.8649,1332660
21,1628557200,0.841,0.8527,0.8472,0.8522,529330
22,1628553600,0.8388,0.8604,0.855,0.8481,821775
23,1628550000,0.8486,0.8597,0.8584,0.8551,1634281
24,1628546400,0.8389,0.8585,0.841,0.8579,1519319
25,1628542800,0.8288,0.8467,0.8394,0.8414,1344781
26,1628539200,0.8367,0.8631,0.8548,0.839,1024639
27,1628535600,0.8527,0.863,0.8578,0.8549,498217
28,1628532000,0.8524,0.8629,0.857,0.8579,943279
29,1628528400,0.855,0.8605,0.8595,0.857,775199
30,1628524800,0.8553,0.8715,0.8654,0.8595,680771
31,1628521200,0.8557,0.867,0.8557,0.8654,833948
32,1628517600,0.8483,0.8625,0.8489,0.8554,874614
33,1628514000,0.845,0.8606,0.8491,0.8484,1220923
34,1628510400,0.8428,0.853,0.8524,0.8483,414345
35,1628506800,0.8473,0.8567,0.8514,0.852,489941
36,1628503200,0.8386,0.8535,0.8451,0.8514,828070
37,1628499600,0.8297,0.8493,0.8324,0.8451,796756
38,1628496000,0.822,0.8344,0.827,0.8322,595451
39,1628492400,0.8152,0.8283,0.818,0.8278,285538
40,1628488800,0.8093,0.8224,0.8203,0.8177,351956
41,1628485200,0.8165,0.8233,0.8212,0.8199,289354
42,1628481600,0.8116,0.8218,0.817,0.8207,481144
43,1628478000,0.8131,0.8204,0.8168,0.8169,388007
44,1628474400,0.8114,0.8183,0.8128,0.8165,446860
45,1628470800,0.8051,0.8185,0.8111,0.8132,927573
46,1628467200,0.8091,0.8312,0.826,0.8111,1481365
47,1628463600,0.8237,0.8409,0.8369,0.8262,1084139
48,1628460000,0.835,0.8412,0.8368,0.8369,788319
49,1628456400,0.8265,0.8377,0.8303,0.8367,510931
50,1628452800,0.8178,0.8356,0.8241,0.83,1422440
51,1628449200,0.8169,0.8304,0.8241,0.8246,1726000
52,1628445600,0.8211,0.8328,0.8288,0.8244,1296384
