,time,low,high,open,close,volume
0,1628625600,473.33,477.9,473.33,475.92,622.947
1,1628622000,468.26,473.6,471.63,473.42,466.678
2,1628618400,467.79,472.22,467.94,471.68,441.303
3,1628614800,461.51,467.94,461.79,467.66,321.803
4,1628611200,459.39,470.17,469.24,461.52,704.715
5,1628607600,466.63,474.28,471.88,469.17,626.254
6,1628604000,470.28,478.72,477.04,471.74,368.756
7,1628600400,474.39,484.98,479.03,476.3,1237.651
8,1628596800,466.57,479.03,469.77,479.02,760.673
9,1628593200,467.91,473.22,470.72,469.68,512.267
10,1628589600,470.19,479.13,477.98,470.34,252.52
11,1628586000,475.61,483.14,479.49,477.95,657.972
12,1628582400,474.66,479.74,474.91,479.48,215.722
13,1628578800,470.08,475.35,473.41,474.75,353.325
14,1628575200,469.56,474.37,473.78,473.42,209.319
15,1628571600,470.68,477.93,470.68,473.83,421.023
16,1628568000,470.15,476.05,475.74,470.15,225.09
17,1628564400,473.65,476.42,474.99,476.06,464.361
18,1628560800,468.52,475.0,470.17,474.87,515.528
19,1628557200,464.4,471.1,465.61,470.19,576.664
20,1628553600,463.09,472.36,467.03,465.69,1262.988
21,1628550000,466.88,473.74,472.0,467.48,1561.528
22,1628546400,468.78,472.01,469.18,471.96,1006.804
23,1628542800,462.69,471.53,467.41,469.16,1852.535
24,1628539200,467.17,482.88,478.63,467.41,1093.694
25,1628535600,477.54,484.95,483.9,478.63,653.316
26,1628532000,480.22,486.55,480.22,483.45,799.802
27,1628528400,480.1,485.87,484.01,480.22,317.188
28,1628524800,480.36,487.81,487.14,484.0,596.498
29,1628521200,480.54,487.56,480.63,487.01,620.096
30,1628517600,477.84,487.75,478.1,480.14,906.52
31,1628514000,477.0,485.78,478.57,478.09,1154.582
32,1628510400,475.39,481.92,481.59,478.81,586.718
33,1628506800,478.24,484.01,483.01,481.09,1042.003
34,1628503200,475.07,482.99,477.81,482.68,742.544
35,1628499600,465.82,477.84,467.03,477.67,871.36
