,time,low,high,open,close,volume
0,1628701200,72.8343,74.0564,73.0258,73.6217,25257.769
1,1628697600,71.22,74.0,71.7962,72.9952,36542.243
2,1628694000,71.4192,73.0263,72.4571,71.7652,23882.577
3,1628690400,71.9086,73.2272,72.3192,72.4865,31678.816
4,1628686800,70.0001,73.2681,70.1447,72.347,62560.093
5,1628683200,69.5435,70.4753,70.1537,70.202,17477.72
6,1628679600,69.6703,71.1266,70.3213,70.1537,20532.735
7,1628676000,70.1313,71.8093,71.5877,70.3034,27458.605
8,1628672400,68.5844,71.62,68.8346,71.5347,42938.788
9,1628668800,68.1178,69.2162,69.122,68.7809,14952.229
10,1628665200,68.4954,69.4496,69.0501,69.1096,19059.496
11,1628661600,68.018,69.1486,68.1453,69.08,22455.426
12,1628658000,67.8492,68.4945,67.9822,68.1411,20470.935
13,1628654400,67.465,68.1585,67.9405,67.9591,16386.942
14,1628650800,67.5093,68.2739,67.6838,67.927,10244.243
15,1628647200,67.4322,68.4192,68.3686,67.6986,11976.574
16,1628643600,67.4732,68.6618,67.7345,68.3533,23222.448
17,1628640000,66.7242,67.8986,66.8194,67.716,19034.62
18,1628636400,66.0966,66.9026,66.7677,66.7314,9089.283
19,1628632800,66.6066,67.6963,67.2652,66.6909,20128.071
20,1628629200,66.7508,67.3608,66.8684,67.1562,8381.16
21,1628625600,66.4487,67.0173,66.4992,66.8694,9772.804
22,1628622000,66.3261,66.718,66.3715,66.4501,10068.87
23,1628618400,66.0135,66.6778,66.2567,66.3401,11702.659
24,1628614800,65.6754,66.4247,65.6754,66.2784,17927.281
25,1628611200,65.0109,66.5833,66.5784,65.6336,24144.277
26,1628607600,66.0219,67.0511,66.6875,66.6577,15977.211
27,1628604000,66.5244,67.6506,67.4699,66.6568,13612.126
28,1628600400,66.9617,68.4999,68.3373,67.5488,24514.333
29,1628596800,66.8253,68.3199,67.2029,68.3199,17896.347
30,1628593200,66.5038,67.4204,66.5038,67.1798,11190.046
31,1628589600,66.1736,68.221,68.1245,66.4782,18785.211
32,1628586000,67.9162,68.5005,68.4923,68.1113,8950.212
33,1628582400,68.1525,68.8617,68.6853,68.4664,12145.248
34,1628578800,67.7522,68.842,68.262,68.7207,15057.081
35,1628575200,67.8874,68.7735,68.761,68.3698,12706.112
36,1628571600,67.6394,68.8424,67.8488,68.7049,15446.632
37,1628568000,67.8356,68.9999,68.8601,67.8356,14026.445
38,1628564400,67.6423,69.76,67.6423,68.87,35954.34
39,1628560800,66.9557,67.8102,67.3113,67.6627,8609.578
40,1628557200,66.6667,67.5172,66.7686,67.2901,12885.851
41,1628553600,66.1971,67.8649,67.5101,66.7717,16237.695
42,1628550000,67.1,67.841,67.494,67.61,16299.414
43,1628546400,66.197,67.4902,66.5792,67.4902,17025.558
44,1628542800,65.6759,67.05,66.1639,66.56,23198.237
45,1628539200,66.0,67.8602,66.9692,66.0885,22919.04
