,time,low,high,open,close,volume
0,1628618400,149.93,152.54,152.1,151.97,2567.901
1,1628614800,150.45,152.58,152.37,152.1,2982.643
2,1628611200,150.0,154.0,150.92,152.37,2924.624
3,1628607600,150.52,152.13,150.93,151.01,894.077
4,1628604000,149.84,153.31,153.25,150.93,2673.283
5,1628600400,150.83,155.0,151.03,153.25,2214.244
6,1628596800,150.25,152.0,151.78,151.03,1603.572
7,1628593200,150.0,152.7,151.03,151.78,1177.936
8,1628589600,150.57,153.24,152.79,151.03,613.451
9,1628586000,150.93,156.9,155.42,152.52,1723.244
10,1628582400,150.1,155.95,151.07,155.32,1340.429
11,1628578800,150.35,153.41,151.67,151.01,842.873
12,1628575200,150.14,153.06,151.81,151.09,1228.098
13,1628571600,150.0,156.29,150.09,151.15,2150.469
14,1628568000,150.02,155.98,151.22,150.21,1227.515
15,1628564400,151.2,152.61,152.2,151.22,659.64
16,1628560800,151.44,156.0,152.92,152.09,2140.917
17,1628557200,149.51,153.38,150.98,152.62,1978.088
18,1628553600,150.4,153.14,151.65,150.65,1858.423
19,1628550000,151.73,154.53,153.07,151.73,1137.002
20,1628546400,150.24,155.34,152.53,153.07,2117.767
21,1628542800,148.4,154.09,150.45,152.13,3304.205
22,1628539200,150.12,157.49,156.26,150.48,2373.227
23,1628535600,155.0,158.67,155.22,156.23,1602.496
24,1628532000,155.01,157.67,155.92,155.05,2936.859
25,1628528400,155.69,157.42,157.28,155.93,1429.439
26,1628524800,155.69,159.57,159.11,157.28,1925.105
27,1628521200,156.31,159.53,156.5,159.11,2271.699
28,1628517600,155.56,160.17,155.56,156.63,2448.823
29,1628514000,154.0,162.72,157.75,155.51,4437.317
30,1628510400,153.68,161.62,161.15,157.5,6457.326
31,1628506800,160.85,166.0,161.01,160.98,6717.195
32,1628503200,153.08,167.0,153.09,161.05,9845.879
33,1628499600,149.56,153.08,149.8,153.08,816.152
34,1628496000,146.38,150.38,150.34,149.81,1002.323
35,1628492400,144.55,150.34,145.0,149.99,1031.304
36,1628488800,143.74,145.72,145.64,145.2,1396.639
37,1628485200,144.35,146.72,146.5,145.46,1765.078
38,1628481600,145.42,147.6,147.44,146.32,1456.493
39,1628478000,145.0,149.5,147.51,147.34,3196.768
40,1628474400,146.18,149.46,147.3,147.59,2406.081
41,1628470800,142.04,148.0,145.23,147.07,6502.006
42,1628467200,144.69,153.16,153.16,145.0,2793.715
43,1628463600,150.97,153.98,151.98,152.75,1696.57
44,1628460000,150.69,152.79,152.04,152.03,1822.363
45,1628456400,149.66,152.2,149.81,152.04,2144.616
46,1628452800,147.88,150.47,148.19,149.85,1903.472
47,1628449200,148.01,151.27,148.8,148.39,3474.832
48,1628445600,148.72,152.2,149.51,148.8,2916.38
49,1628442000,148.07,152.18,149.03,149.55,5166.112
50,1628438400,147.99,151.81,148.46,149.11,2882.574
51,1628434800,147.0,153.57,151.5,148.67,5008.328
52,1628431200,150.88,154.7,152.47,151.5,1559.997
53,1628427600,152.03,153.9,152.79,152.68,1007.418
54,1628424000,150.25,152.91,151.9,152.78,4244.233
55,1628420400,151.49,155.19,153.9,151.91,2276.71
56,1628416800,153.15,155.03,153.79,153.72,482.389
57,1628413200,153.25,158.22,155.1,153.57,1784.123
58,1628409600,153.28,155.35,153.78,155.12,1029.145
59,1628406000,153.26,156.32,155.89,153.64,1293.317
60,1628402400,155.43,157.26,156.97,155.89,892.634
61,1628398800,155.05,157.08,156.67,156.77,1395.608
62,1628395200,156.46,158.98,158.87,156.73,1167.78
63,1628391600,157.81,160.0,158.23,159.03,1069.804
64,1628388000,158.19,162.52,162.06,158.23,1628.931
65,1628384400,158.62,164.88,158.63,162.06,6912.12
66,1628380800,153.87,159.0,155.6,158.63,2468.515
67,1628377200,155.37,160.12,159.05,155.5,3730.491
68,1628373600,155.36,160.21,155.49,159.2,2687.507
69,1628370000,154.47,162.5,157.47,155.62,5108.04
70,1628366400,154.65,159.0,154.65,157.61,2545.919
71,1628362800,152.09,157.99,154.67,154.6,3074.453
72,1628359200,150.54,155.32,155.14,154.55,10043.981
73,1628355600,155.0,156.7,155.25,155.14,3274.311
74,1628352000,155.03,158.78,158.01,155.38,3061.449
75,1628348400,154.71,163.0,158.51,157.85,6559.774
76,1628344800,155.87,161.29,156.03,158.51,5116.155
77,1628341200,154.05,161.24,160.81,156.02,10319.511
78,1628337600,160.5,163.71,162.2,160.81,3931.07
79,1628334000,161.2,164.58,163.66,162.2,2258.865
80,1628330400,162.49,165.95,162.94,163.79,2094.859
81,1628326800,162.8,166.27,165.35,163.05,1778.871
82,1628323200,161.96,166.94,162.62,165.16,1522.1
83,1628319600,161.48,164.69,161.96,162.43,871.418
84,1628316000,161.16,167.26,162.18,162.06,1738.892
85,1628312400,160.01,164.19,160.03,162.17,1976.621
86,1628308800,160.0,167.49,165.54,160.03,3757.785
87,1628305200,162.25,166.01,164.61,165.54,2458.52
88,1628301600,162.0,167.7,162.32,164.7,5142.02
89,1628298000,157.31,164.18,159.04,162.32,6176.666
90,1628294400,157.94,162.14,162.0,159.05,4770.696
91,1628290800,160.81,162.88,162.3,161.91,3190.851
92,1628287200,162.0,164.16,163.32,162.24,3095.133
93,1628283600,163.31,167.87,165.99,163.31,3546.563
94,1628280000,165.47,169.2,167.69,165.8,4778.156
95,1628276400,163.03,167.69,163.64,167.46,3171.951
96,1628272800,162.38,165.08,164.31,163.28,4184.346
97,1628269200,161.83,164.58,162.57,163.82,5005.647
98,1628265600,160.0,168.49,165.51,162.57,12533.886
99,1628262000,164.91,169.32,167.11,165.45,4286.866
100,1628258400,164.83,168.69,167.72,167.5,3065.849
101,1628254800,165.0,169.98,166.02,168.32,4332.15
102,1628251200,166.0,173.52,173.04,166.0,3505.485
103,1628247600,170.0,174.79,170.76,173.04,3154.92
104,1628244000,165.75,170.9,166.38,170.56,1653.807
105,1628240400,166.0,169.49,169.13,166.38,1579.098
106,1628236800,168.61,171.6,171.19,169.19,1912.842
107,1628233200,171.0,173.32,172.95,171.19,964.563
108,1628229600,171.0,174.51,174.48,172.97,876.472
109,1628226000,173.01,175.48,173.35,174.48,722.551
110,1628222400,171.74,173.62,172.64,173.42,1179.372
111,1628218800,170.4,174.5,170.4,172.64,1984.039
112,1628215200,170.0,173.01,170.5,170.9,2412.921
113,1628211600,170.41,174.8,173.59,170.77,2451.466
114,1628208000,173.58,175.79,173.61,173.79,2721.912
115,1628204400,173.44,179.58,174.93,173.6,6580.787
116,1628200800,174.46,181.18,180.6,175.09,4025.515
117,1628197200,178.23,181.4,179.03,180.6,2221.308
118,1628193600,176.65,184.01,179.5,179.04,6638.916
119,1628190000,172.74,190.1,172.74,179.35,10870.834
120,1628186400,171.92,174.64,174.01,172.52,2113.693
121,1628182800,171.02,175.0,171.58,174.2,3099.276
122,1628179200,170.67,173.53,171.82,171.4,2518.165
123,1628175600,171.09,174.33,173.21,171.82,3494.104
124,1628172000,172.03,174.18,173.27,173.46,3146.504
125,1628168400,173.0,179.89,173.82,173.99,5027.134
126,1628164800,173.13,175.96,174.53,173.82,1124.503
127,1628161200,173.14,175.59,175.33,174.99,1323.595
128,1628157600,172.51,175.47,174.67,174.69,1347.728
129,1628154000,173.14,178.1,178.1,173.86,1111.846
130,1628150400,173.41,178.32,173.86,178.15,1424.444
131,1628146800,171.0,174.07,171.76,173.43,963.182
132,1628143200,170.9,174.5,171.06,171.76,1449.048
133,1628139600,170.55,173.28,172.04,171.4,1974.768
134,1628136000,170.62,175.89,170.62,171.84,2234.397
135,1628132400,170.52,174.65,173.18,170.81,2311.946
136,1628128800,172.22,174.56,173.15,173.5,1294.541
137,1628125200,170.0,173.49,171.09,173.15,2108.809
138,1628121600,170.0,175.04,174.66,171.18,3265.107
139,1628118000,172.47,175.0,173.2,174.7,2080.793
140,1628114400,171.48,176.12,172.71,173.63,2995.503
141,1628110800,168.88,173.5,170.22,172.71,4428.349
142,1628107200,168.08,175.41,174.97,170.89,7456.141
143,1628103600,172.86,177.0,176.74,175.01,5797.352
144,1628100000,175.01,181.17,180.85,176.76,5214.153
145,1628096400,176.02,182.28,176.53,181.21,4974.781
146,1628092800,173.62,178.49,173.88,176.41,5208.207
147,1628089200,173.2,178.74,173.73,173.88,8410.642
148,1628085600,171.0,188.99,176.0,173.64,19569.795
149,1628082000,168.75,176.0,169.31,176.0,6384.742
150,1628078400,165.5,170.0,166.65,169.31,2376.426
151,1628074800,165.13,168.4,167.41,166.65,1825.02
152,1628071200,164.54,172.86,168.5,167.37,3323.226
153,1628067600,157.05,170.48,158.45,168.5,3220.88
154,1628064000,157.16,162.72,162.02,158.39,2853.879
155,1628060400,162.0,166.73,165.13,162.02,1869.734
156,1628056800,164.63,168.91,166.01,165.71,2814.963
157,1628053200,165.44,170.45,169.34,166.01,3430.692
158,1628049600,166.86,173.68,166.89,169.34,4575.979
159,1628046000,164.32,167.5,165.41,167.47,2497.765
160,1628042400,163.86,168.94,164.62,165.82,3943.818
161,1628038800,163.07,166.92,165.47,164.11,3846.186
162,1628035200,162.75,166.44,165.45,165.96,4383.072
163,1628031600,161.5,173.94,165.42,165.35,8586.269
164,1628028000,164.78,175.0,171.53,166.31,7069.003
165,1628024400,164.33,174.1,172.32,171.53,13756.811
166,1628020800,160.0,177.0,161.05,172.32,11679.216
167,1628017200,156.19,166.37,156.48,160.86,15505.645
168,1628013600,153.92,156.5,155.41,156.48,2390.1
169,1628010000,150.62,156.79,152.45,155.47,3458.663
170,1628006400,148.47,152.45,149.72,152.44,1889.195
171,1628002800,148.57,153.43,151.16,149.77,2530.977
172,1627999200,150.05,156.99,150.78,151.84,2873.95
173,1627995600,148.32,151.34,151.31,150.77,1745.397
174,1627992000,146.63,151.55,151.17,151.3,3059.462
175,1627988400,150.52,155.72,153.67,151.12,2022.842
176,1627984800,148.69,153.67,150.39,153.67,1132.185
